GN	JK_S1_2_ERCC_S22	JK_S1_3_ERCC_S23	JK_S2_2_ERCC_S24	JK_S2_3_ERCC_S25	JK_A2_1_ERCC_S26	JK_A2_2_ERCC_S27	JK_A2_3_ERCC_S28	JK_A2_4_ERCC_S29	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31
CUL1	115024.4702	122361.1324	121017.0578	126495.1303	117648.5369	121785.9008	121220.21	123582.4542	116247.9169	123041.4069
LYRM7	53722.93247	61010.2845	47977.6212	58187.97765	51267.02918	59386.84798	50835.61785	57000.46853	48366.78968	56068.29191
PEA15	65498.96331	60097.35072	58217.72146	55917.34328	57400.78713	52925.79048	56258.32052	49889.32736	53996.16273	59912.50509
FAM169A	34869.12132	34539.36919	27579.55956	30508.88805	31630.13533	30193.73844	31361.30454	29402.37813	31010.99741	28704.55129
HAT1	153397.6513	146513.8376	140377.9094	138982.424	133025.1719	133687.8066	137083.5324	130248.2275	136988.8106	135080.8032
NHLRC2	58773.69925	60869.72115	57035.10475	60903.26857	55787.0157	59314.03757	55855.62565	58383.99515	55022.44408	58544.22545
DSTN	1060916.833	977653.9938	1103799.106	994534.3327	1086600.87	974528.1222	1039686.557	936865.5485	1032562.238	946319.029
PURA	65158.45471	64367.31714	59635.24213	60501.766	65280.63458	62684.16893	62966.11225	56673.98093	57840.61635	58195.98567
EXOSC1	82930.37456	86717.29428	78032.54013	83126.73144	75250.16979	81069.76705	81347.84961	82260.83108	76085.76552	77219.03212
SRA1	12707.85911	11465.68965	13272.46035	13025.87571	11757.51173	11015.29709	13185.12704	11488.06526	12358.18062	11821.8071
PDXP	113468.0827	104754.5029	87751.95608	87325.36464	93439.74133	91099.42954	96459.84827	90865.05351	89969.18526	89456.96312
CAPNS1	301647.0697	283250.469	291979.6156	280323.1244	286704.9112	246257.4663	283985.5793	264117.5904	276396.7077	269778.49
SACM1L	138734.6149	131361.0173	144304.544	125940.0791	127543.4765	118191.2728	130506.8714	125805.7938	136592.5448	122830.4245
MICALL1	28512.12756	31121.63763	30248.42623	30268.61957	27106.6087	31131.86397	28551.93185	30013.50798	27296.21785	31052.49873
FNBP4	87500.57973	88838.7818	79445.54583	81070.24737	81182.35826	83347.08089	82779.19795	77623.92031	74358.00143	79096.8639
TEX10	26995.52124	27836.92146	27757.90555	29353.75322	25933.05801	26871.25409	25997.00983	27485.82512	25629.19532	26426.70422
WASH2P	62853.20503	69693.28801	61627.03984	63384.65191	61509.37231	64044.82346	62468.24854	64719.50712	60310.81241	68279.09368
ANXA1	508430.4091	505412.1873	429938.2187	421839.9503	403579.2673	398880.3235	395530.7973	362646.884	389045.311	352800.95
PNPLA8	31323.55509	35211.96174	26446.42998	30536.80923	27815.40212	31428.0929	28409.44737	31662.54903	27531.96249	30942.46435
CISD1	95292.48853	90083.26521	92443.87741	90546.00709	89766.9159	86298.17897	89590.19547	89261.34765	90202.62506	88791.23267
HECA	21580.40875	23562.40464	18435.30464	19446.32337	18033.75701	18519.60578	19163.1276	19366.2756	20208.97347	17874.54906
NDUFB7	28141.28178	22824.18769	29539.75561	27986.15843	24895.13206	23064.18404	26468.01949	23023.6893	28399.14547	26005.79545
DDRGK1	41927.97341	40347.91053	41086.93456	40367.92492	42447.42379	39801.4845	40118.95813	41976.04429	36916.53424	38559.9289
PLAA	81058.03423	78587.33161	86706.81961	79616.24105	81094.3084	74973.55927	79376.06063	75824.37688	80092.4258	77511.96588
PLEKHA2	125416.6093	124216.0439	104947.0312	104154.3765	108326.8462	104449.1364	106667.9913	108797.2599	111502.722	112390.08
PIGK	17972.48528	17415.19878	16172.01998	16785.07902	15272.03099	15932.21079	16383.04438	17673.42644	16540.02415	15899.63315
RAB1A	410156.8446	349835.2136	384360.9434	364742.5178	353937.2929	335859.3457	359967.7226	349978.0018	368237.6837	351119.6846
POR	105290.3728	106393.9083	104356.0409	99388.63718	101535.3069	94251.84971	99248.86914	95637.10552	101279.8891	92832.02096
RDH14	47830.71815	55026.65267	44288.24587	48606.63564	44708.22131	50181.00006	45005.51891	47794.85754	43843.9742	48311.5194
SRPK1	66229.78093	63659.32308	67807.97618	67007.408	62772.99277	61072.66168	64332.57276	64054.93743	61564.53553	63438.3506
PBK	173534.585	160031.5656	168236.1327	159685.2547	165069.1079	150493.3599	163599.4165	147997.1644	162924.057	149558.5811
DDX1	339000.6275	324443.4144	318852.7128	312444.3906	315067.1825	304785.6785	314644.4713	303856.5723	311481.4735	305667.7408
CCNC	12925.51592	16026.3183	16550.75903	17677.99937	15843.29833	18537.55746	15582.80514	18920.05428	14982.78128	17816.64425
HDGFRP2	145747.8821	159384.9978	131760.3691	139691.9316	148372.1308	144436.3578	140374.0546	149138.5889	135691.2293	149471.1501
LSM7	256910.4145	240771.4201	289263.366	227322.0552	262281.5211	244314.6367	241918.1682	223380.5483	257670.2027	233125.4587
MTX2	52629.62512	64196.77348	43430.85319	59620.82807	50844.5774	59965.36113	49058.78606	56588.61653	46700.17232	55611.01602
TMEM223	11368.21967	10751.17268	10448.17107	10725.10783	11018.90311	10493.79908	10812.263	10508.25297	10408.82751	9827.555607
SCAMP1	51966.83193	52755.11403	51387.81847	49850.44801	50789.28892	48842.35127	49035.40159	49346.71581	50419.13812	48940.66872
ETFDH	31318.1464	32000.77167	29294.89477	29984.90678	28109.09051	27583.34166	29041.7964	29603.34751	28861.42566	30398.00852
BCL9	20325.73796	18677.09924	19825.69677	20022.53726	19184.99792	18095.04193	19898.48505	17436.3094	19458.65678	17645.64459
POTEI	1897563.016	1805633.26	1828373.18	1967316.274	1867822.197	1821265.492	1919124.702	1793219.388	1800217.841	1819442.221
IKBKAP	68244.65633	64319.71781	71434.2839	66608.69658	65489.90636	61404.32687	67488.56404	61862.94727	68122.82177	64672.57821
CEP120	12370.11978	13465.18528	9286.291057	11348.93258	10442.4991	12705.54268	9962.421296	12358.95963	9325.803107	12064.18393
RAD50	109394.6259	112385.3023	106719.8332	105817.637	102173.4757	103075.5331	105409.5632	103655.1761	102197.0989	105834.0281
ZC3H18	103564.3526	106375.5026	96668.51867	96518.0314	94166.18558	93163.69283	97817.8825	96902.0519	98780.31886	97934.72724
ACAP3	31921.3075	32140.40045	31932.55389	27602.74812	29795.17779	28716.86682	30412.42221	27672.61168	28959.68963	30634.58564
MOB1B	140742.6862	125223.1947	147517.3198	130352.7752	129956.8681	124292.0856	134935.0266	129477.8645	140690.1283	126808.7792
GNB1L	38007.32999	37119.59987	36303.70798	35949.10306	34112.43279	33257.72709	33167.73084	34650.11093	36517.19292	33172.71752
AAAS	50296.29695	53108.59286	49293.40506	48966.07478	48010.84171	48768.96629	46838.38957	46068.75432	48793.46892	49464.85617
RRBP1	60265.30917	66243.26381	59700.42509	57700.74243	59278.76967	61247.16985	60644.06291	64039.38281	63088.12739	64295.69102
TRADD	30702.87964	31289.66544	30927.57431	28996.18079	27978.13984	28110.01408	30046.83746	29071.06668	30468.07576	27925.25952
MZT2B	24834.91596	20925.98689	22354.6168	19634.52093	22331.0092	18760.57027	23091.95118	18777.56499	22679.26738	19783.72557
ADRM1	257266.9116	280254.9589	284203.1104	293037.2952	276701.6463	265194.3416	275705.7705	272022.1446	257781.9907	270063.3495
STMN4	1129324.529	920468.4382	1036049.457	857307.103	937787.9802	834465.1981	958195.3424	837643.5262	1021760.525	849051.9619
RHOA	337308.0827	310390.0957	297432.0188	279627	306420.4721	269758.3014	285020.647	269001.6675	296502.9226	276897.4997
PRTFDC1	298678.6825	186259.4513	266296.9232	179264.1111	252922.3707	154575.3012	256167.2415	167139.8523	265181.9047	202559.9855
TUBB8	376324.8907	380751.5572	350080.5339	363240.5407	348915.5696	354891.4476	345726.943	352334.9463	344514.846	355069.4252
MRPS22	118438.4566	112559.3087	124393.4416	119494.3779	114298.6623	110225.733	114718.3472	106779.4341	118200.2216	109522.6791
DARS2	50973.39897	53603.3572	57089.64995	59025.15447	50258.71412	51873.65273	50259.61565	52646.78665	49671.1508	53046.51545
CLASP2	94168.18565	88595.52987	96454.91806	92739.48096	91912.40976	90151.65961	95178.15591	94447.13215	93496.0104	93539.10981
RPS6KA6	38476.62154	35978.54143	38310.28123	35737.53174	37132.28834	33567.28985	34093.80891	33671.75146	37717.03395	31715.8841
HSPA4	774028.4723	731262.4384	768854.6928	719282.2875	727239.4523	697793.8069	716344.6082	691118.5756	735688.0672	700023.3573
RNF5	15145.70083	16281.96766	13856.14701	15964.36839	14024.35635	17536.78248	13008.01644	15254.04509	13791.84798	15319.17668
LIG1	297082.2736	312493.982	283060.6065	295152.7489	281750.8651	284641.2493	279740.6969	282326.6572	283504.0604	290654.1342
DNM1L	187267.2377	177190.8398	178515.6856	171389.6482	178660.2989	168493.0157	175130.2686	163730.2007	177487.8903	173958.6245
CCT4	834699.8229	812388.9647	840137.81	814555.2043	810507.1253	782919.6203	805937.74	760503.0645	807664.5234	768365.2332
BOP1	66294.61574	64842.81636	74140.83574	74614.26808	68707.89019	67586.3163	68026.3513	66602.35137	67262.62663	66882.37532
TARBP2	59733.45321	54723.98338	59240.02609	56475.1826	57598.29985	54817.07353	55726.06165	51657.92935	55333.48188	58273.23897
SNAPC4	16997.20544	17511.70789	20341.56223	17468.83944	15907.30226	15897.37632	17734.77024	17432.45262	16612.79861	17263.84293
NTPCR	161543.8399	155497.9876	161540.7171	152635.7441	152069.2055	142600.0528	151288.114	137146.9265	152461.8732	145156.7177
RPE	53059.22	59011.89665	45565.12777	53457.59995	47882.30527	55473.77315	49894.68447	54521.48394	45033.29801	55236.60618
CCDC90B	53720.60691	49954.89515	47926.73715	46943.75529	45363.47439	43909.79823	48536.81179	45761.4541	50328.12596	46163.71098
FKBP15	69242.1588	75161.40673	69063.31764	78739.89465	71804.74152	76443.95842	69197.59636	73776.97186	68868.84317	73305.36106
SQLE	18993.17465	19143.70787	18641.22786	17302.66201	17611.74841	18402.4463	18111.63789	17802.41899	16192.82458	18189.60864
SEC24B	56355.86815	49324.10414	54621.90041	48484.29203	50944.101	44011.58482	52613.11335	45234.24519	54467.76272	46277.15271
DAD1	85809.29174	77013.19276	89561.22312	78580.88176	77192.89399	71566.57609	84308.46416	81167.43738	82761.06185	77236.05502
ALKBH5	65697.70212	61514.82562	52379.64217	55723.34854	56803.99745	56424.57933	56837.6689	54837.06607	57372.64397	57919.20112
SAMD13	15245.91581	15008.62005	16577.40865	15453.04553	15560.82657	15548.22462	14252.95753	15502.62859	16327.64586	15574.38447
ATAD2	108356.7969	103159.5823	87347.54877	82128.60021	89173.03065	84076.38324	91589.25162	80972.03241	91175.79822	82645.20274
NUMBL	21593.75686	24365.05147	20114.59551	21482.52182	20521.94204	22094.38267	21203.60438	24379.67581	19286.38065	22578.13249
CEP192	20251.13356	17642.54067	18551.7445	19032.55644	18463.94935	17270.16463	19258.76376	17620.25881	19277.29895	18202.92276
TTC21B	12140.54942	12868.38135	14171.15898	13787.08817	13015.85786	12271.48606	13576.70467	14010.90598	13184.56304	13419.28395
MAPKAPK5	61453.45345	64483.08341	58172.42956	57406.5394	55979.85158	56786.35583	57304.63508	57360.40391	55950.14182	56776.45867
SCP2	350528.5011	348556.5808	299619.1299	314623.8587	320261.4868	320304.178	318156.148	315869.6626	314312.3138	321610.0749
IAH1	68743.5847	67771.98057	58485.71147	56937.22215	64420.37825	56690.59764	61861.45517	53975.20099	62596.41658	57914.62734
COG6	32979.78294	35078.72683	34599.61692	36170.7734	32723.15105	32365.79331	33064.56758	33323.94376	32865.24292	34040.68415
VAMP5	98934.47762	110649.9833	96926.50483	104105.6609	85268.32836	108492.4092	89892.08548	107998.6099	81382.05095	100192.4218
BDH1	55206.07856	62635.37562	50951.45876	51749.32635	49664.42972	51580.77442	51274.68352	52987.22899	49170.6985	52733.7044
TMEM205	10191.99954	9807.35363	8561.159933	10501.59231	7916.153635	9645.064282	9352.349407	9020.014148	9882.553438	8650.399425
PSMD6	112632.5341	112407.8068	115352.0529	118936.7391	108706.5645	111476.3251	110784.9845	112422.5267	109468.6991	110786.3373
TGFBRAP1	40047.9554	37000.39399	38285.09741	38305.60606	35551.73489	34825.19096	36937.2277	36119.90063	37316.9358	33826.19663
SEC24D	43158.80007	42600.00796	39696.03051	40203.965	39949.17585	38098.57565	39890.42155	39215.20258	39127.42354	39276.1936
SMS	152811.7266	151475.4663	146980.1279	138878.5585	142346.6749	134802.8907	141597.9787	141981.9602	147134.8662	147027.7814
HDAC9	44479.53248	39799.69237	39867.28597	46175.44057	40709.36606	38846.33687	45894.10819	39785.43799	41519.82529	39125.529
UTP23	24138.48854	21460.41455	23000.29603	23473.02167	21839.67849	20060.56262	22581.74388	20278.64463	23492.52173	21436.50935
INTS8	24284.80903	23453.72455	25534.13521	25030.62	24433.5391	24458.70416	25388.61151	25739.36415	25157.93846	24572.937
ATP13A1	56360.43349	55872.9826	59686.82156	61144.70021	55539.25256	55342.0996	57042.69841	57253.99863	55697.58061	56534.00079
ARF5	126625.5193	120125.7222	134885.6402	118071.3296	120742.1454	116338.5469	120614.6629	115291.7813	124448.0109	113738.0034
ROGDI	20874.93266	19176.85125	16544.93077	19253.0345	17265.52403	17562.41628	17198.10403	20110.76238	16514.99189	18605.78773
CROCC	195979.8813	199891.3884	199882.7697	202583.5875	197151.675	196334.6175	189570.2933	202923.7166	195472.9353	197463.8232
SKP2	22548.24106	22879.76091	25458.95142	26273.40749	23859.21159	24198.26871	23713.83574	25533.76722	23791.25246	24325.53648
SEC61A1	211452.8955	198459.2994	219938.1401	203413.6682	197636.3923	200443.8085	209896.3751	213378.6352	212527.5281	198710.491
FKBP3	572749.6839	568659.9617	575867.2177	574130.4991	573098.9116	550809.9534	570251.3801	529405.2558	560115.8443	556820.2836
CLGN	39637.27593	37292.3447	37885.37335	36833.71686	38100.51129	36329.86674	36328.85307	34928.88436	38809.87458	35628.79525
RFWD3	11952.7269	12176.69835	13043.59366	13812.66998	12132.55669	12244.89969	11332.5242	12653.55437	11687.44431	12447.84419
DLAT	371117.6533	371116.5594	326347.076	338095.1073	329345.6925	335664.1335	328189.3738	331728.4947	327638.4698	322883.1548
MMTAG2	40285.34794	44353.72823	42074.71599	43344.8396	38883.83584	41718.76394	41538.11288	42235.9059	39487.01856	41667.60434
RPL22	272284.7711	259792.3905	264112.0021	308361.7036	252049.2073	253439.2513	272302.7556	281684.3671	264480.9675	279657.0132
POLDIP2	64788.7342	59736.70434	66164.51086	65095.32314	59934.28269	59794.98311	63491.94689	60215.86896	62940.19705	60473.95415
SNRNP40	109074.0805	106976.479	106070.9014	106442.5613	105304.0956	102993.5068	105705.8412	100124.6909	101569.8393	99035.89707
GSPT2	216408.5563	210456.3163	239040.6235	229058.0993	226709.3939	212944.725	217174.3496	211789.7611	222426.5346	209564.6351
ING1	51396.30912	51372.41358	44155.01479	43635.02918	44735.87833	45967.72797	44351.7493	45311.10375	44556.22367	45562.33136
MGRN1	10495.09924	10038.7372	11376.29772	9926.603314	10121.82815	11504.02184	8862.847852	10357.61794	9784.427725	11007.48688
STMN1	1901801.82	1686612.001	1778295.701	1524911.083	1713841.192	1518510.31	1703019.666	1518028.86	1738067.799	1542099.553
GTF2A1	20536.33253	22365.19864	21161.04301	20719.02073	21158.09017	23366.3796	18438.17065	21344.14086	18922.13355	21513.74673
IKBKG	71149.37739	77045.22405	73798.26714	79500.9361	73282.88223	81204.30981	70641.80709	75940.17839	65087.12305	74498.02646
VPS28	99749.05683	97642.02593	97083.89257	92126.09608	93577.49305	91424.74411	90510.72115	94085.56564	89744.23588	89277.30552
DHX15	449193.2952	438419.2943	447939.4988	418234.5587	415037.6587	411951.1832	418730.3534	405709.0731	417548.2111	409315.7683
MAPK7	31938.86658	30142.35301	26481.1059	26964.17538	28375.33789	25031.17862	28149.0822	29055.14696	28380.79906	27937.42547
HEBP1	28284.24336	27228.84936	23844.18089	24858.10503	25902.8142	26711.33503	22513.49731	25371.54469	26094.48493	26924.20521
SSR3	117068.7348	103875.169	92651.90166	100685.8382	95113.12022	95318.56534	96507.09645	100704.7722	105253.041	90850.66903
SESN1	16866.00059	13828.11978	16612.75155	13586.59076	15629.76083	13852.2844	16755.24059	10507.7025	16818.71396	13190.47908
COMMD10	42036.98656	40720.58119	37442.39209	38760.76864	39627.41573	38878.72517	40200.15174	35465.69571	35744.57119	37877.83037
PARP10	28094.9629	28598.0373	24257.99845	29301.7541	26277.13541	22663.35973	25397.65776	28069.96329	25559.25274	25594.81738
OBSCN	15826.23181	19888.93225	15346.44515	19062.10711	16256.63362	18016.07664	15715.27543	17750.62791	15177.93307	18739.6207
CISD2	112423.9204	103759.6036	119722.4109	119652.0027	111964.7368	106253.8516	110971.6769	112135.4474	111212.7889	103559.0304
RPL14	54041.12155	55360.70692	75821.95452	80516.83816	63282.79953	67801.79349	61593.07305	63005.43528	61058.15183	57102.90834
GPR89A	11480.30468	9444.948518	10433.59978	11595.51924	10595.2358	9393.527776	11007.7472	11107.4653	11110.97567	10790.33887
ARFGEF2	87194.80674	87900.83847	93593.65253	93791.61983	87771.71714	84930.26374	87579.65325	85878.45203	86582.58056	87630.87757
SEC31A	206882.7025	199154.0666	189445.4496	190243.4484	198211.8235	190634.1747	198390.6811	184175.2144	189184.8706	186418.0297
CCT8	1054015.523	1038669.028	1090040.906	1067110.92	1052048.983	1006945.914	1030323.496	989619.045	1018289.236	1004775.085
SORT1	27352.47851	28216.13662	27953.89533	29309.63703	25693.1569	25559.5307	27360.64315	26588.24588	26143.40549	26892.46281
EFR3A	16337.82733	16474.27302	16337.79737	16431.04875	13774.45049	13588.92138	14222.81714	14932.42938	17213.02826	14799.69425
ALDH6A1	151158.8165	135160.2013	117962.8488	104033.5477	118412.9432	109110.9695	121207.2605	108721.6164	125138.2969	112204.3484
LRPPRC	270982.9423	263377.2084	324838.0473	314984.2121	283350.9622	270655.7805	281017.7991	271601.4619	280492.2864	274163.1788
NSMAF	28226.92045	27501.91863	31651.12392	29705.16004	27481.08063	27390.32499	27771.63324	28497.43624	28469.78071	28990.25452
FAM64A	24177.70916	21157.40851	14961.13724	18809.2434	16412.65039	18582.79231	16839.55477	21864.24287	17284.32587	20903.47176
MRPS27	76314.83845	84722.06586	85572.14696	92968.28113	78968.26617	85237.89297	79066.50641	85399.54852	76442.83532	85597.08231
CHTF18	60828.8143	59910.57053	50425.69334	57717.3409	51295.96626	53016.40154	54368.14917	54973.17122	52603.75924	52990.13256
GPRIN1	17640.04909	16631.99176	16712.71628	17584.30599	16651.44764	17069.95875	16407.29312	16806.44553	16439.55057	17662.08272
PMPCA	66555.54137	68535.70875	70258.21099	72457.29533	65765.27731	64728.31915	63710.14609	66142.07356	63330.43351	66285.72339
RFWD2	7580.408952	9129.176804	7080.155694	6554.021883	6674.60964	8061.795573	9995.747229	10183.10321	5124.160357	8179.323572
DDX60	24576.69603	21950.07241	23713.2925	21568.52089	22227.3682	19237.18707	21762.14616	19368.70707	22491.36896	19806.32521
PNMA2	26798.85582	24432.31541	52297.33174	45498.57704	37926.52474	36954.5688	38077.47873	36982.90945	38974.97789	37824.87523
MRPS34	53948.29547	50785.73623	52853.12445	50986.85508	49454.4928	47328.46488	49273.59157	45863.82275	52165.60518	48093.1647
HRSP12	54983.95099	49912.56618	45052.78051	45659.18856	47743.6535	43790.62873	47857.83204	45949.92533	48339.08892	47696.13952
BCL11A	33850.36329	31285.44537	30677.68721	33773.08878	31736.72517	29903.85451	32158.40609	29518.0228	32156.2686	29478.58988
PPP5C	118384.7154	117745.1095	112644.6264	110157.9603	115480.5054	108321.5303	110429.0624	107077.1164	110484.2314	107285.3948
TSN	211670.9659	205808.4203	211688.1507	207678.8438	205759.8564	201549.3084	206835.8422	202187.3494	211609.2425	203336.7367
BTN3A1	14842.56794	15139.0613	12783.063	13357.20838	12379.44122	13700.38396	12775.61309	14177.61876	13164.75672	13161.72514
MCFD2	39012.2388	38745.725	34546.49061	33386.93728	37411.52548	35742.91866	33816.73435	34775.09656	33665.79774	33961.03752
TDRD3	24186.49288	23907.56462	25029.9672	26265.0491	23997.95412	24388.49315	25293.95473	24627.61386	23811.33128	25078.23896
DKC1	127211.5233	116310.7979	152536.8363	140875.8799	132912.3183	136622.6296	135471.2026	130142.5712	126751.9056	127504.7931
TDRD9	13374.74184	13419.70641	13072.05191	13924.02225	12766.80814	12374.81254	12848.89073	12966.35641	12154.01106	15436.18589
SETD7	13055.323	16469.20149	12765.24358	15941.98253	13661.44775	16549.15913	13915.28535	16244.16133	13062.78158	14759.17159
VDAC3	365574.4048	342869.2704	354551.7823	323194.9758	319709.2576	306512.1934	341858.0761	322479.5596	356650.7104	321291.4519
RAD23B	343549.9343	317004.6284	319833.9799	304629.8999	328867.9555	290968.9742	311737.643	282179.3563	310704.471	294814.9961
MAN1B1	21628.10776	20979.01622	20420.48299	20227.77293	20528.29889	19383.09566	21343.74996	18347.98144	20172.80294	20829.50622
